Class Name,API Name,Number of Input Parameters_x,Number of Input Parameters_y,_merge
TvInputManagerService,sendAppPrivateCommand,5,5,both
TvInputManagerService,sendTvInputNotifyIntent,3,3,both
TvInputManagerService,setCaptionEnabled,4,4,both
TvInputManagerService,setMainSession,3,3,both
TvInputManagerService,setParentalControlsEnabled,3,3,both
TvInputManagerService,setSurface,4,4,both
TvInputManagerService,setVolume,4,4,both
TvInputManagerService,startRecording,4,4,both
TvInputManagerService,stopRecording,3,3,both
TvInputManagerService,timeShiftEnablePositionTracking,4,4,both
TvInputManagerService,timeShiftPause,3,3,both
TvInputManagerService,timeShiftPlay,4,4,both
TvInputManagerService,timeShiftResume,3,3,both
TvInputManagerService,timeShiftSeekTo,4,4,both
TvInputManagerService,timeShiftSetPlaybackParams,4,4,both
TvInputManagerService,tune,5,5,both
TvInputManagerService,unblockContent,4,4,both
TvInputManagerService,unregisterCallback,3,3,both
TvInputManagerService,updateTvInputInfo,3,3,both
SearchManagerService$Lifecycle,getGlobalSearchActivities,1,1,both
SearchManagerService$Lifecycle,getGlobalSearchActivity,1,1,both
SearchManagerService$Lifecycle,getSearchableInfo,2,2,both
SearchManagerService$Lifecycle,getSearchablesInGlobalSearch,1,1,both
SearchManagerService$Lifecycle,getWebSearchActivity,1,1,both
SearchManagerService$Lifecycle,launchAssist,2,2,both
SearchManagerService$Lifecycle,launchLegacyAssist,4,4,both
WifiP2pService,checkConfigureWifiDisplayPermission,1,1,both
WifiP2pService,close,2,2,both
WifiP2pService,getMessenger,2,2,both
WifiP2pService,getP2pStateMachineMessenger,1,1,both
WifiP2pService,setMiracastMode,2,2,both
ContextHubSystemService,createClient,3,3,both
ContextHubSystemService,disableNanoApp,4,4,both
ContextHubSystemService,enableNanoApp,4,4,both
ContextHubSystemService,findNanoAppOnHub,3,3,both
ContextHubSystemService,getContextHubHandles,1,1,both
ContextHubSystemService,getContextHubInfo,2,2,both
ContextHubSystemService,getContextHubs,1,1,both
ContextHubSystemService,getNanoAppInstanceInfo,2,2,both
ContextHubSystemService,loadNanoApp,3,3,both
ContextHubSystemService,loadNanoAppOnHub,4,4,both
ContextHubSystemService,queryNanoApps,3,3,both
ContextHubSystemService,registerCallback,2,2,both
ContextHubSystemService,sendMessage,4,4,both
ContextHubSystemService,unloadNanoApp,2,2,both
ContextHubSystemService,unloadNanoAppFromHub,4,4,both
ContentService$Lifecycle,addPeriodicSync,5,5,both
ContentService$Lifecycle,addStatusChangeListener,3,3,both
ContentService$Lifecycle,cancelRequest,2,2,both
ContentService$Lifecycle,cancelSync,4,4,both
ContentService$Lifecycle,cancelSyncAsUser,5,5,both
ContentService$Lifecycle,getCache,4,4,both
ContentService$Lifecycle,getCurrentSyncs,1,1,both
ContentService$Lifecycle,getCurrentSyncsAsUser,2,2,both
ContentService$Lifecycle,getIsSyncable,3,3,both
ContentService$Lifecycle,getIsSyncableAsUser,4,4,both
ContentService$Lifecycle,getMasterSyncAutomatically,1,1,both
ContentService$Lifecycle,getMasterSyncAutomaticallyAsUser,2,2,both
ContentService$Lifecycle,getPeriodicSyncs,4,4,both
ContentService$Lifecycle,getSyncAdapterPackagesForAuthorityAsUser,3,3,both
ContentService$Lifecycle,getSyncAdapterTypes,1,1,both
ContentService$Lifecycle,getSyncAdapterTypesAsUser,2,2,both
ContentService$Lifecycle,getSyncAutomatically,3,3,both
ContentService$Lifecycle,getSyncAutomaticallyAsUser,4,4,both
ContentService$Lifecycle,getSyncStatus,4,4,both
ContentService$Lifecycle,getSyncStatusAsUser,5,5,both
ContentService$Lifecycle,isSyncActive,4,4,both
ContentService$Lifecycle,isSyncPending,4,4,both
ContentService$Lifecycle,isSyncPendingAsUser,5,5,both
ContentService$Lifecycle,notifyChange,7,7,both
ContentService$Lifecycle,notifyChange,7,5,both
ContentService$Lifecycle,notifyChange,5,7,both
ContentService$Lifecycle,notifyChange,5,5,both
ContentService$Lifecycle,putCache,5,5,both
ContentService$Lifecycle,registerContentObserver,4,4,both
ContentService$Lifecycle,registerContentObserver,4,6,both
ContentService$Lifecycle,registerContentObserver,6,4,both
ContentService$Lifecycle,registerContentObserver,6,6,both
ContentService$Lifecycle,removePeriodicSync,4,4,both
ContentService$Lifecycle,removeStatusChangeListener,2,2,both
ContentService$Lifecycle,requestSync,4,4,both
ContentService$Lifecycle,resetTodayStats,1,1,both
ContentService$Lifecycle,setIsSyncable,4,4,both
ContentService$Lifecycle,setMasterSyncAutomatically,2,2,both
ContentService$Lifecycle,setMasterSyncAutomaticallyAsUser,3,3,both
ContentService$Lifecycle,setSyncAutomatically,4,4,both
ContentService$Lifecycle,setSyncAutomaticallyAsUser,5,5,both
ContentService$Lifecycle,sync,2,2,both
ContentService$Lifecycle,syncAsUser,3,3,both
ContentService$Lifecycle,unregisterContentObserver,2,2,both
IpConnectivityMetrics,addNetdEventCallback,3,3,both
IpConnectivityMetrics,logEvent,2,2,both
IpConnectivityMetrics,removeNetdEventCallback,2,2,both
TextServicesManagerService$Lifecycle,finishSpellCheckerService,2,,left_only
TextServicesManagerService$Lifecycle,getCurrentSpellChecker,2,,left_only
TextServicesManagerService$Lifecycle,getCurrentSpellCheckerSubtype,3,,left_only
TextServicesManagerService$Lifecycle,getEnabledSpellCheckers,1,,left_only
TextServicesManagerService$Lifecycle,getSpellCheckerService,6,,left_only
TextServicesManagerService$Lifecycle,isSpellCheckerEnabled,1,,left_only
AudioService$Lifecycle,adjustSuggestedStreamVolume,7,7,both
AudioService$Lifecycle,adjustSuggestedStreamVolume,7,6,both
AudioService$Lifecycle,adjustSuggestedStreamVolume,6,7,both
AudioService$Lifecycle,adjustSuggestedStreamVolume,6,6,both
AudioService$Lifecycle,setStreamVolume,7,7,both
AudioService$Lifecycle,setStreamVolume,7,8,both
AudioService$Lifecycle,setStreamVolume,7,5,both
AudioService$Lifecycle,setStreamVolume,5,7,both
AudioService$Lifecycle,setStreamVolume,5,8,both
AudioService$Lifecycle,setStreamVolume,5,5,both
AudioService$Lifecycle,abandonAudioFocus,5,5,both
AudioService$Lifecycle,addMixForPolicy,3,3,both
AudioService$Lifecycle,adjustStreamVolume,5,5,both
AudioService$Lifecycle,adjustStreamVolume,5,7,both
AudioService$Lifecycle,adjustStreamVolume,7,5,both
AudioService$Lifecycle,adjustStreamVolume,7,7,both
AudioService$Lifecycle,avrcpSupportsAbsoluteVolume,3,3,both
AudioService$Lifecycle,disableRingtoneSync,2,2,both
AudioService$Lifecycle,disableSafeMediaVolume,2,2,both
AudioService$Lifecycle,dispatchFocusChange,4,4,both
AudioService$Lifecycle,forceRemoteSubmixFullVolume,3,3,both
AudioService$Lifecycle,forceVolumeControlStream,3,3,both
AudioService$Lifecycle,getActivePlaybackConfigurations,1,1,both
AudioService$Lifecycle,getActiveRecordingConfigurations,1,1,both
AudioService$Lifecycle,getCurrentAudioFocus,1,1,both
AudioService$Lifecycle,getFocusRampTimeMs,3,3,both
AudioService$Lifecycle,getLastAudibleStreamVolume,2,2,both
AudioService$Lifecycle,getMode,1,1,both
AudioService$Lifecycle,getRingerModeExternal,1,1,both
AudioService$Lifecycle,getRingerModeInternal,1,1,both
AudioService$Lifecycle,getRingtonePlayer,1,1,both
AudioService$Lifecycle,getStreamMaxVolume,2,2,both
AudioService$Lifecycle,getStreamMinVolume,2,2,both
AudioService$Lifecycle,getStreamVolume,2,2,both
AudioService$Lifecycle,getStreamVolume,2,3,both
AudioService$Lifecycle,getUiSoundsStreamType,1,1,both
AudioService$Lifecycle,getVibrateSetting,2,2,both
AudioService$Lifecycle,handleBluetoothA2dpDeviceConfigChange,2,2,both
AudioService$Lifecycle,isAudioServerRunning,1,1,both
AudioService$Lifecycle,isBluetoothA2dpOn,1,1,both
AudioService$Lifecycle,isBluetoothScoOn,1,1,both
AudioService$Lifecycle,isCameraSoundForced,1,1,both
AudioService$Lifecycle,isHdmiSystemAudioSupported,1,1,both
AudioService$Lifecycle,isMasterMute,1,1,both
AudioService$Lifecycle,isSpeakerphoneOn,1,1,both
AudioService$Lifecycle,isStreamAffectedByMute,2,2,both
AudioService$Lifecycle,isStreamAffectedByRingerMode,2,2,both
AudioService$Lifecycle,isStreamMute,2,2,both
AudioService$Lifecycle,isValidRingerMode,2,2,both
AudioService$Lifecycle,loadSoundEffects,1,1,both
AudioService$Lifecycle,notifyVolumeControllerVisible,3,3,both
AudioService$Lifecycle,playSoundEffect,2,2,both
AudioService$Lifecycle,playSoundEffectVolume,3,3,both
AudioService$Lifecycle,playerAttributes,3,3,both
AudioService$Lifecycle,playerEvent,3,3,both
AudioService$Lifecycle,playerHasOpPlayAudio,3,3,both
AudioService$Lifecycle,registerAudioPolicy,6,6,both
AudioService$Lifecycle,registerAudioServerStateDispatcher,2,2,both
AudioService$Lifecycle,registerPlaybackCallback,2,2,both
AudioService$Lifecycle,registerRecordingCallback,2,2,both
AudioService$Lifecycle,releasePlayer,2,2,both
AudioService$Lifecycle,reloadAudioSettings,1,1,both
AudioService$Lifecycle,removeMixForPolicy,3,3,both
AudioService$Lifecycle,requestAudioFocus,10,10,both
AudioService$Lifecycle,setBluetoothA2dpDeviceConnectionState,4,4,both
AudioService$Lifecycle,setBluetoothA2dpDeviceConnectionStateSuppressNoisyIntent,6,6,both
AudioService$Lifecycle,setBluetoothA2dpOn,2,2,both
AudioService$Lifecycle,setBluetoothHearingAidDeviceConnectionState,5,,left_only
AudioService$Lifecycle,setBluetoothScoOn,2,2,both
AudioService$Lifecycle,setFocusPropertiesForPolicy,3,3,both
AudioService$Lifecycle,setFocusRequestResultFromExtPolicy,4,4,both
AudioService$Lifecycle,setHdmiSystemAudioSupported,2,2,both
AudioService$Lifecycle,setMasterMute,5,5,both
AudioService$Lifecycle,setMicrophoneMute,4,4,both
AudioService$Lifecycle,setMode,4,4,both
AudioService$Lifecycle,setRingerModeExternal,3,3,both
AudioService$Lifecycle,setRingerModeInternal,3,3,both
AudioService$Lifecycle,setRingtonePlayer,2,2,both
AudioService$Lifecycle,setSpeakerphoneOn,2,2,both
AudioService$Lifecycle,setVibrateSetting,3,3,both
AudioService$Lifecycle,setVolumeController,2,2,both
AudioService$Lifecycle,setVolumePolicy,2,2,both
AudioService$Lifecycle,setWiredDeviceConnectionState,6,6,both
AudioService$Lifecycle,shouldVibrate,2,2,both
AudioService$Lifecycle,startBluetoothSco,3,3,both
AudioService$Lifecycle,startBluetoothScoVirtualCall,2,2,both
AudioService$Lifecycle,startWatchingRoutes,2,2,both
AudioService$Lifecycle,stopBluetoothSco,2,2,both
AudioService$Lifecycle,trackPlayer,2,2,both
AudioService$Lifecycle,unloadSoundEffects,1,1,both
AudioService$Lifecycle,unregisterAudioFocusClient,2,2,both
AudioService$Lifecycle,unregisterAudioPolicyAsync,2,2,both
AudioService$Lifecycle,unregisterAudioServerStateDispatcher,2,2,both
AudioService$Lifecycle,unregisterPlaybackCallback,2,2,both
AudioService$Lifecycle,unregisterRecordingCallback,2,2,both
UsageStatsService,getAppStandbyBucket,4,4,both
UsageStatsService,getAppStandbyBuckets,3,3,both
UsageStatsService,isAppInactive,3,3,both
UsageStatsService,onCarrierPrivilegedAppsChanged,1,1,both
UsageStatsService,queryConfigurationStats,5,5,both
UsageStatsService,queryEventStats,5,5,both
UsageStatsService,queryEvents,4,4,both
UsageStatsService,queryEventsForPackage,4,4,both
UsageStatsService,queryEventsForPackageForUser,6,6,both
UsageStatsService,queryEventsForUser,5,5,both
UsageStatsService,queryUsageStats,5,5,both
UsageStatsService,registerAppUsageObserver,6,6,both
UsageStatsService,reportChooserSelection,6,6,both
UsageStatsService,setAppInactive,4,4,both
UsageStatsService,setAppStandbyBucket,4,4,both
UsageStatsService,setAppStandbyBuckets,3,3,both
UsageStatsService,unregisterAppUsageObserver,3,3,both
UsageStatsService,whitelistAppTemporarily,4,4,both
EthernetService,addListener,2,2,both
EthernetService,getAvailableInterfaces,1,1,both
EthernetService,getConfiguration,2,2,both
EthernetService,isAvailable,2,2,both
EthernetService,removeListener,2,2,both
EthernetService,setConfiguration,3,3,both
NetworkScoreService$Lifecycle,clearScores,1,1,both
NetworkScoreService$Lifecycle,disableScoring,1,1,both
NetworkScoreService$Lifecycle,getActiveScorer,1,1,both
NetworkScoreService$Lifecycle,getActiveScorerPackage,1,1,both
NetworkScoreService$Lifecycle,getAllValidScorers,1,1,both
NetworkScoreService$Lifecycle,isCallerActiveScorer,2,2,both
NetworkScoreService$Lifecycle,registerNetworkScoreCache,4,4,both
NetworkScoreService$Lifecycle,requestScores,2,2,both
NetworkScoreService$Lifecycle,setActiveScorer,2,2,both
NetworkScoreService$Lifecycle,unregisterNetworkScoreCache,3,3,both
NetworkScoreService$Lifecycle,updateScores,2,2,both
MediaSessionService,addSessionTokensListener,4,,left_only
MediaSessionService,addSessionsListener,4,,left_only
MediaSessionService,createSession,5,,left_only
MediaSessionService,createSession2,2,,left_only
MediaSessionService,destroySession2,2,,left_only
MediaSessionService,dispatchAdjustVolume,5,,left_only
MediaSessionService,dispatchMediaKeyEvent,5,,left_only
MediaSessionService,dispatchVolumeKeyEvent,6,,left_only
MediaSessionService,getSessionTokens,4,,left_only
MediaSessionService,getSessions,3,,left_only
MediaSessionService,isGlobalPriorityActive,1,,left_only
MediaSessionService,isTrusted,4,,left_only
MediaSessionService,removeSessionTokensListener,3,,left_only
MediaSessionService,removeSessionsListener,2,,left_only
MediaSessionService,setCallback,2,,left_only
MediaSessionService,setOnMediaKeyListener,2,,left_only
MediaSessionService,setOnVolumeKeyLongPressListener,2,,left_only
MediaSessionService,setRemoteVolumeController,2,,left_only
MmsServiceBroker,addMultimediaMessageDraft,3,,left_only
MmsServiceBroker,addTextMessageDraft,4,,left_only
MmsServiceBroker,archiveStoredConversation,4,,left_only
MmsServiceBroker,deleteStoredConversation,3,,left_only
MmsServiceBroker,deleteStoredMessage,3,,left_only
MmsServiceBroker,downloadMessage,7,,left_only
MmsServiceBroker,getAutoPersisting,1,,left_only
MmsServiceBroker,getCarrierConfigValues,2,,left_only
MmsServiceBroker,importMultimediaMessage,7,,left_only
MmsServiceBroker,importTextMessage,8,,left_only
MmsServiceBroker,sendMessage,7,,left_only
MmsServiceBroker,sendStoredMessage,6,,left_only
MmsServiceBroker,setAutoPersisting,3,,left_only
MmsServiceBroker,updateStoredMessageStatus,4,,left_only
BackupManagerService$Lifecycle,acknowledgeFullBackupOrRestore,6,6,both
BackupManagerService$Lifecycle,adbBackup,11,11,both
BackupManagerService$Lifecycle,adbRestore,2,2,both
BackupManagerService$Lifecycle,agentConnected,3,3,both
BackupManagerService$Lifecycle,agentDisconnected,2,2,both
BackupManagerService$Lifecycle,backupNow,1,1,both
BackupManagerService$Lifecycle,beginRestoreSession,3,3,both
BackupManagerService$Lifecycle,cancelBackups,1,1,both
BackupManagerService$Lifecycle,clearBackupData,3,3,both
BackupManagerService$Lifecycle,dataChanged,2,2,both
BackupManagerService$Lifecycle,filterAppsEligibleForBackup,2,2,both
BackupManagerService$Lifecycle,fullTransportBackup,2,2,both
BackupManagerService$Lifecycle,getAvailableRestoreToken,2,2,both
BackupManagerService$Lifecycle,getConfigurationIntent,2,2,both
BackupManagerService$Lifecycle,getCurrentTransport,1,1,both
BackupManagerService$Lifecycle,getDataManagementIntent,2,2,both
BackupManagerService$Lifecycle,getDataManagementLabel,2,2,both
BackupManagerService$Lifecycle,getDestinationString,2,2,both
BackupManagerService$Lifecycle,getTransportWhitelist,1,1,both
BackupManagerService$Lifecycle,hasBackupPassword,1,1,both
BackupManagerService$Lifecycle,isAppEligibleForBackup,2,2,both
BackupManagerService$Lifecycle,isBackupEnabled,1,1,both
BackupManagerService$Lifecycle,isBackupServiceActive,2,2,both
BackupManagerService$Lifecycle,listAllTransportComponents,1,1,both
BackupManagerService$Lifecycle,listAllTransports,1,1,both
BackupManagerService$Lifecycle,opComplete,3,3,both
BackupManagerService$Lifecycle,requestBackup,5,5,both
BackupManagerService$Lifecycle,restoreAtInstall,3,3,both
BackupManagerService$Lifecycle,selectBackupTransport,2,2,both
BackupManagerService$Lifecycle,selectBackupTransportAsync,3,3,both
BackupManagerService$Lifecycle,setAutoRestore,2,2,both
BackupManagerService$Lifecycle,setBackupEnabled,2,2,both
BackupManagerService$Lifecycle,setBackupPassword,3,3,both
BackupManagerService$Lifecycle,setBackupProvisioned,2,2,both
BackupManagerService$Lifecycle,setBackupServiceActive,3,3,both
BackupManagerService$Lifecycle,updateTransportAttributes,7,7,both
MidiService$Lifecycle,closeDevice,3,3,both
MidiService$Lifecycle,getDeviceStatus,2,2,both
MidiService$Lifecycle,getDevices,1,1,both
MidiService$Lifecycle,getServiceDeviceInfo,3,3,both
MidiService$Lifecycle,openBluetoothDevice,4,4,both
MidiService$Lifecycle,openDevice,4,4,both
MidiService$Lifecycle,registerDeviceServer,8,8,both
MidiService$Lifecycle,registerListener,3,3,both
MidiService$Lifecycle,setDeviceStatus,3,3,both
MidiService$Lifecycle,unregisterDeviceServer,2,2,both
MidiService$Lifecycle,unregisterListener,3,3,both
NotificationManagerService,applyAdjustmentFromAssistant,,3,right_only
NotificationManagerService,applyAdjustmentsFromAssistant,,3,right_only
NotificationManagerService,applyEnqueuedAdjustmentFromAssistant,,3,right_only
NotificationManagerService,cancelNotificationFromListener,,5,right_only
NotificationManagerService,cancelNotificationsFromListener,,3,right_only
NotificationManagerService,enqueueEdgeNotification,,6,right_only
NotificationManagerService,enqueueToastForDisplay,,7,right_only
NotificationManagerService,enqueueToastLog,,6,right_only
NotificationManagerService,getActiveNotificationsFromListener,,4,right_only
NotificationManagerService,getHintsFromListener,,2,right_only
NotificationManagerService,getInterruptionFilterFromListener,,2,right_only
NotificationManagerService,getNotificationChannelGroupsFromPrivilegedListener,,4,right_only
NotificationManagerService,getNotificationChannelsFromPrivilegedListener,,4,right_only
NotificationManagerService,getSnoozedNotificationsFromListener,,3,right_only
NotificationManagerService,matchesMessageFilter,,2,right_only
NotificationManagerService,notifyConditions,,4,right_only
NotificationManagerService,registerListener,,4,right_only
NotificationManagerService,removeEdgeNotification,,5,right_only
NotificationManagerService,requestHintsFromListener,,3,right_only
NotificationManagerService,requestInterruptionFilterFromListener,,3,right_only
NotificationManagerService,requestUnbindListener,,2,right_only
NotificationManagerService,requestUnbindProvider,,2,right_only
NotificationManagerService,setNotificationsShownFromListener,,3,right_only
NotificationManagerService,setOnNotificationPostedTrimFromListener,,3,right_only
NotificationManagerService,snoozeNotificationUntilContextFromListener,,4,right_only
NotificationManagerService,snoozeNotificationUntilFromListener,,4,right_only
NotificationManagerService,unregisterListener,,3,right_only
NotificationManagerService,unsnoozeNotificationFromAssistant,,3,right_only
NotificationManagerService,updateNotificationChannelFromPrivilegedListener,,5,right_only
NotificationManagerService,updateNotificationChannelGroupFromPrivilegedListener,,5,right_only
UserManagerService$LifeCycle,canAddMoreManagedProfiles,,4,right_only
UserManagerService$LifeCycle,canAddMoreManagedProfiles,,3,right_only
UserManagerService$LifeCycle,canHaveRestrictedProfile,,2,right_only
UserManagerService$LifeCycle,clearSeedAccountData,,1,right_only
UserManagerService$LifeCycle,createProfileForUser,,5,right_only
UserManagerService$LifeCycle,createProfileForUserEvenWhenDisallowed,,5,right_only
UserManagerService$LifeCycle,createRestrictedProfile,,3,right_only
UserManagerService$LifeCycle,createUser,,3,right_only
UserManagerService$LifeCycle,evictCredentialEncryptionKey,,2,right_only
UserManagerService$LifeCycle,getApplicationRestrictions,,2,right_only
UserManagerService$LifeCycle,getApplicationRestrictionsForUser,,3,right_only
UserManagerService$LifeCycle,getBModeDefaultIcon,,2,right_only
UserManagerService$LifeCycle,getCredentialOwnerProfile,,2,right_only
UserManagerService$LifeCycle,getDefaultGuestRestrictions,,1,right_only
UserManagerService$LifeCycle,getManagedProfileBadge,,2,right_only
UserManagerService$LifeCycle,getPrimaryUser,,1,right_only
UserManagerService$LifeCycle,getProfileIds,,3,right_only
UserManagerService$LifeCycle,getProfileParent,,2,right_only
UserManagerService$LifeCycle,getProfileParentId,,2,right_only
UserManagerService$LifeCycle,getProfiles,,3,right_only
UserManagerService$LifeCycle,getSeedAccountName,,1,right_only
UserManagerService$LifeCycle,getSeedAccountOptions,,1,right_only
UserManagerService$LifeCycle,getSeedAccountType,,1,right_only
UserManagerService$LifeCycle,getUserAccount,,2,right_only
UserManagerService$LifeCycle,getUserCreationTime,,2,right_only
UserManagerService$LifeCycle,getUserHandle,,2,right_only
UserManagerService$LifeCycle,getUserIcon,,2,right_only
UserManagerService$LifeCycle,getUserInfo,,2,right_only
UserManagerService$LifeCycle,getUserRestrictionSource,,3,right_only
UserManagerService$LifeCycle,getUserRestrictionSources,,3,right_only
UserManagerService$LifeCycle,getUserRestrictions,,2,right_only
UserManagerService$LifeCycle,getUserSerialNumber,,2,right_only
UserManagerService$LifeCycle,getUserStartRealtime,,1,right_only
UserManagerService$LifeCycle,getUserUnlockRealtime,,1,right_only
UserManagerService$LifeCycle,getUsers,,2,right_only
UserManagerService$LifeCycle,hasBaseUserRestriction,,3,right_only
UserManagerService$LifeCycle,hasRestrictedProfiles,,1,right_only
UserManagerService$LifeCycle,hasUserRestriction,,3,right_only
UserManagerService$LifeCycle,hasUserRestrictionOnAnyUser,,2,right_only
UserManagerService$LifeCycle,isDemoUser,,2,right_only
UserManagerService$LifeCycle,isManagedProfile,,2,right_only
UserManagerService$LifeCycle,isQuietModeEnabled,,2,right_only
UserManagerService$LifeCycle,isRestricted,,1,right_only
UserManagerService$LifeCycle,isSameProfileGroup,,3,right_only
UserManagerService$LifeCycle,isUserNameSet,,2,right_only
UserManagerService$LifeCycle,isUserRunning,,2,right_only
UserManagerService$LifeCycle,isUserUnlocked,,2,right_only
UserManagerService$LifeCycle,isUserUnlockingOrUnlocked,,2,right_only
UserManagerService$LifeCycle,markGuestForDeletion,,2,right_only
UserManagerService$LifeCycle,removeUser,,2,right_only
UserManagerService$LifeCycle,removeUserEvenWhenDisallowed,,2,right_only
UserManagerService$LifeCycle,requestQuietModeEnabled,,5,right_only
UserManagerService$LifeCycle,semGetSemUserInfo,,2,right_only
UserManagerService$LifeCycle,setApplicationRestrictions,,4,right_only
UserManagerService$LifeCycle,setDefaultGuestRestrictions,,2,right_only
UserManagerService$LifeCycle,setSeedAccountData,,6,right_only
UserManagerService$LifeCycle,setUserAccount,,3,right_only
UserManagerService$LifeCycle,setUserAdmin,,2,right_only
UserManagerService$LifeCycle,setUserEnabled,,2,right_only
UserManagerService$LifeCycle,setUserIcon,,3,right_only
UserManagerService$LifeCycle,setUserName,,3,right_only
UserManagerService$LifeCycle,setUserRestriction,,4,right_only
UserManagerService$LifeCycle,someUserHasSeedAccount,,3,right_only
UserManagerService$LifeCycle,updateUserInfo,,3,right_only
UsbService$Lifecycle,countKeyBoardConnectedviaUsbHost,,1,right_only
UsbService$Lifecycle,countMouseConnectedviaUsbHost,,1,right_only
UsbService$Lifecycle,isSupportDexRestrict,,1,right_only
UsbService$Lifecycle,isUsb30Available,,1,right_only
UsbService$Lifecycle,isUsb30Enabled,,1,right_only
UsbService$Lifecycle,isUsbBlocked,,1,right_only
UsbService$Lifecycle,restrictUsbHostInterface,,3,right_only
UsbService$Lifecycle,semGetUsbDebugState,,1,right_only
UsbService$Lifecycle,semGrantDevicePermission,,3,right_only
UsbService$Lifecycle,semSetDevicePackage,,4,right_only
UsbService$Lifecycle,semSetMode,,2,right_only
UsbService$Lifecycle,semSetUsbDebug,,2,right_only
UsbService$Lifecycle,setUsb30Mode,,2,right_only
WifiScanningService,semSetWifiState,,2,right_only
WifiScanningService,setSimulatorData,,2,right_only
WifiScanningService,startAndStopSimulation,,2,right_only
ASKSManagerService,checkASKSTarget,,2,right_only
ASKSManagerService,checkDeletableListForASKS,,1,right_only
ASKSManagerService,checkRestrictedPermission,,3,right_only
ASKSManagerService,clearASKSruleForRemovedPackage,,2,right_only
ASKSManagerService,getGrantedPermissionsForAASA,,2,right_only
ASKSManagerService,getSEInfo,,2,right_only
ASKSManagerService,getUNvalueForASKS,,1,right_only
ASKSManagerService,postASKSsetup,,4,right_only
ASKSManagerService,systemReady,,1,right_only
ASKSManagerService,verifyASKStokenForPackage,,8,right_only
SdpManagerService$Lifecycle,addEngine,,4,right_only
SdpManagerService$Lifecycle,allow,,3,right_only
SdpManagerService$Lifecycle,clearEncPkgCache,,3,right_only
SdpManagerService$Lifecycle,clearEncPkgData,,3,right_only
SdpManagerService$Lifecycle,createEncPkgDir,,3,right_only
SdpManagerService$Lifecycle,deleteToeknFromTrusted,,2,right_only
SdpManagerService$Lifecycle,disallow,,3,right_only
SdpManagerService$Lifecycle,enroll,,4,right_only
SdpManagerService$Lifecycle,exists,,2,right_only
SdpManagerService$Lifecycle,getEncPkgDataSizeInfo,,3,right_only
SdpManagerService$Lifecycle,getEngineInfo,,2,right_only
SdpManagerService$Lifecycle,getSupportedSDKVersion,,1,right_only
SdpManagerService$Lifecycle,isDefaultPathUser,,2,right_only
SdpManagerService$Lifecycle,isLegacyEncryption,,2,right_only
SdpManagerService$Lifecycle,isLicensed,,1,right_only
SdpManagerService$Lifecycle,isSDPEnabled,,2,right_only
SdpManagerService$Lifecycle,isSdpSupported,,1,right_only
SdpManagerService$Lifecycle,lock,,2,right_only
SdpManagerService$Lifecycle,migrate,,2,right_only
SdpManagerService$Lifecycle,onBiometricsAuthenticated,,2,right_only
SdpManagerService$Lifecycle,onDeviceOwnerLocked,,2,right_only
SdpManagerService$Lifecycle,registerClient,,3,right_only
SdpManagerService$Lifecycle,registerListener,,3,right_only
SdpManagerService$Lifecycle,removeEngine,,2,right_only
SdpManagerService$Lifecycle,resetPassword,,4,right_only
SdpManagerService$Lifecycle,saveTokenIntoTrusted,,3,right_only
SdpManagerService$Lifecycle,setPassword,,3,right_only
SdpManagerService$Lifecycle,systemReady,,1,right_only
SdpManagerService$Lifecycle,unlock,,3,right_only
SdpManagerService$Lifecycle,unlockViaTrusted,,3,right_only
SdpManagerService$Lifecycle,unregisterClient,,3,right_only
SdpManagerService$Lifecycle,unregisterListener,,3,right_only
SdpManagerService$Lifecycle,verify,,4,right_only
LauncherAppsService,getApplicationInfo,,5,right_only
LauncherAppsService,getLauncherActivities,,4,right_only
LauncherAppsService,getShortcutConfigActivities,,4,right_only
LauncherAppsService,getShortcutConfigActivityIntent,,4,right_only
LauncherAppsService,getShortcuts,,8,right_only
LauncherAppsService,getSuspendedPackageLauncherExtras,,3,right_only
LauncherAppsService,isActivityEnabled,,4,right_only
LauncherAppsService,isPackageEnabled,,4,right_only
LauncherAppsService,pinShortcuts,,5,right_only
LauncherAppsService,resolveActivity,,4,right_only
LauncherAppsService,showAppDetailsAsUser,,7,right_only
LauncherAppsService,startActivityAsUser,,7,right_only
WebViewUpdateService,changeProviderAndSetting,,2,right_only
WebViewUpdateService,enableFallbackLogic,,2,right_only
WebViewUpdateService,enableMultiProcess,,2,right_only
WebViewUpdateService,getAllWebViewPackages,,1,right_only
WebViewUpdateService,getCurrentWebViewPackage,,1,right_only
WebViewUpdateService,getCurrentWebViewPackageName,,1,right_only
WebViewUpdateService,getValidWebViewPackages,,1,right_only
WebViewUpdateService,isFallbackPackage,,2,right_only
WebViewUpdateService,isMultiProcessEnabled,,1,right_only
WebViewUpdateService,notifyRelroCreationCompleted,,1,right_only
WebViewUpdateService,waitForAndGetProvider,,1,right_only
DisplayManagerService,connectDevice,,2,right_only
DisplayManagerService,disconnectDevice,,1,right_only
DisplayManagerService,enableMagnifierWindowController,,2,right_only
DisplayManagerService,enableOverlayMagnifier,,2,right_only
DisplayManagerService,fitToActiveDisplay,,2,right_only
DisplayManagerService,getActiveDevice,,1,right_only
DisplayManagerService,getActiveSinkDisplay,,1,right_only
DisplayManagerService,getBackupBrightnessConfiguration,,2,right_only
